time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-01T03:22:59.690Z,32.961,-115.5421667,3.02,1.6,ml,16,99,0.06138,0.22,ci,ci37776440,2017-01-01T03:26:55.343Z,"2km SSW of Brawley, CA",earthquake,0.4,0.58,0.215,26,automatic,ci,ci
2017-01-01T03:25:38.370Z,-29.6335,-71.3356,43.22,4.1,mwr,,120,0.296,1.03,us,us10007p19,2017-01-01T03:46:52.040Z,"31km NNW of La Serena, Chile",earthquake,5.2,7.2,0.052,36,reviewed,us,us
2017-01-01T03:25:40.430Z,32.9558333,-115.56,2.03,1.21,ml,12,96,0.05422,0.24,ci,ci37776448,2017-01-01T03:29:18.525Z,"4km SW of Brawley, CA",earthquake,0.53,0.73,0.161,20,automatic,ci,ci
2017-01-01T03:29:00.215Z,63.4848,-147.6242,74.7,1.6,ml,,,,0.64,ak,ak14868413,2017-01-01T03:39:34.186Z,"67km E of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-01-01T03:29:52.570Z,32.9668333,-115.5553333,3.3,1.14,ml,14,108,0.06534,0.28,ci,ci37776456,2017-01-01T03:33:32.621Z,"3km WSW of Brawley, CA",earthquake,0.71,0.8,0.144,15,automatic,ci,ci
2017-01-01T03:32:34.850Z,32.9513333,-115.5576667,2.79,1.52,ml,10,83,0.04979,0.21,ci,ci37776464,2017-01-01T03:36:22.643Z,"4km SW of Brawley, CA",earthquake,0.49,0.62,0.195,9,automatic,ci,ci
2017-01-01T03:38:25.820Z,33.9806667,-117.2133333,15.02,0.66,ml,17,102,0.09492,0.13,ci,ci37776472,2017-01-03T23:19:27.416Z,"6km NNE of Moreno Valley, CA",earthquake,0.31,0.56,0.1,7,reviewed,ci,ci
2017-01-01T03:41:45.690Z,38.8433342,-122.8291702,1.87,0.38,md,7,91,0.00684,0.01,nc,nc72746815,2017-01-01T03:43:23.435Z,"9km WNW of Cobb, California",earthquake,0.46,0.57,0.13,2,automatic,nc,nc
2017-01-01T03:43:14.830Z,32.9775,-115.5485,8.13,2.31,ml,39,75,0.06678,0.25,ci,ci37776480,2017-01-04T01:17:28.590Z,"2km W of Brawley, CA",earthquake,0.27,0.82,0.231,77,reviewed,ci,ci
2017-01-01T03:45:52.180Z,32.9701667,-115.549,6.4,1.86,ml,24,91,0.06921,0.22,ci,ci37776496,2017-01-01T03:56:44.470Z,"2km WSW of Brawley, CA",earthquake,0.39,1.13,0.266,27,automatic,ci,ci
2017-01-01T03:51:07.590Z,32.9691667,-115.5486667,5.05,1.65,ml,24,86,0.06827,0.24,ci,ci37776512,2017-01-01T03:54:59.928Z,"2km WSW of Brawley, CA",earthquake,0.41,1.14,0.191,28,automatic,ci,ci
